,Data Scientist,Data Analyst,Data Engineer,Database Administrator,Total,Color
Matlab,0.087025,0.048327,0.081006,0.022727,0.075211,#FD3216
Python,0.941456,0.665428,0.821229,0.409091,0.833461,#00FE35
SQL,0.498418,0.624535,0.653631,0.818182,0.577897,#6A76FC
VBA,0.039557,0.286245,0.067039,0.159091,0.102072,#FED4C4
C#,0.066456,0.126394,0.128492,0.250000,0.102072,#FE00CE
R,0.346519,0.301115,0.162011,0.204545,0.281658,#0DF9FF
Scala,0.063291,0.007435,0.248603,0.022727,0.101305,#F6F926
Delphi,0.000000,0.011152,0.005587,0.022727,0.004605,#FF9616
Perl,0.015823,0.018587,0.022346,0.045455,0.019186,#479B55
PHP,0.022152,0.070632,0.064246,0.113636,0.046815,#EEA6FB
Java,0.344937,0.427509,0.642458,0.340909,0.443592,#DC587D
Clojure,0.014241,0.022305,0.013966,0.022727,0.016117,#D626FF
Julia,0.052215,0.018587,0.025140,0.022727,0.036838,#6E899C
APL,0.000000,0.018587,0.008380,0.068182,0.008442,#00B5F7
Swift,0.012658,0.014870,0.011173,0.090909,0.015349,#B68E00
HTML/CSS,0.178797,0.289963,0.240223,0.250000,0.221028,#C9FBE5
C,0.140823,0.074349,0.136872,0.181818,0.127398,#FF0092
C++,0.215190,0.085502,0.162011,0.113636,0.170376,#22FFA7
